              Feature  Coefficient  Importance
13        gender_Male    -0.023413    0.023413
6          resting_hr     0.016909    0.016909
5   calories_consumed     0.011171    0.011171
2         daily_steps    -0.010602    0.010602
8        diastolic_bp    -0.009318    0.009318
10     family_history     0.007644    0.007644
0                 age     0.007282    0.007282
1                 bmi     0.005451    0.005451
12            alcohol     0.004785    0.004785
7         systolic_bp     0.004778    0.004778
